question,answer,p_answer,type,length,difficulty,latency,word,source,target,p_answer_clean,answer_clean,exact,cfm,Model,raw_response,annotated_question,edit_type
Remove 'l' after 'u' in 'amplexicaul'.,amplexicau,ampuexicau,remove,11,3,,amplexicaul,u,l,ampuexicau,amplexicau,False,0.9,Final,"{
  ""p_answer"": ""amp u exicau ""
}",Remove 'l' after 'u' in amp l exicau l .,remove
Remove 'a' after 'o' in 'oka'.,ok,ok,remove,3,1,,oka,o,a,ok,ok,True,1.0,Final,"{
  ""p_answer"": ""ok ""
}",Remove 'a' after 'o' in ok a .,remove
Remove 'e' after 'f' in 'plurifoliate'.,plurifoliat,plurifoliat,remove,12,4,,plurifoliate,f,e,plurifoliat,plurifoliat,True,1.0,Final,"{
  ""p_answer"": ""plurifoliat ""
}",Remove 'e' after 'f' in plurifoliat e .,remove
Remove 'y' after 'l' in 'uprightly'.,uprightl,uprightl,remove,9,4,,uprightly,l,y,uprightl,uprightl,True,1.0,Final,"{
  ""p_answer"": ""uprightl ""
}",Remove 'y' after 'l' in uprightl y .,remove
Remove 'n' after 'i' in 'ricine'.,ricie,ricie,remove,6,2,,ricine,i,n,ricie,ricie,True,1.0,Final,"{
  ""p_answer"": ""rici e""
}",Remove 'n' after 'i' in rici n e.,remove
Remove 'o' after 'a' in 'stalko'.,stalk,stalk,remove,6,2,,stalko,a,o,stalk,stalk,True,1.0,Final,"{
  ""p_answer"": ""stalk""
}",Remove 'o' after 'a' in stalk o .,remove
Remove 'u' after 'a' in 'uca'.,ca,ca,remove,3,1,,uca,a,u,ca,ca,True,1.0,Final,"{
  ""p_answer"": ""ca""
}",Remove 'u' after 'a' in  u ca.,remove
Remove 'p' after 'n' in 'naphthenic'.,nahthenic,nahthenic,remove,10,4,,naphthenic,n,p,nahthenic,nahthenic,True,1.0,Final,"{
  ""p_answer"": ""na hthenic""
}",Remove 'p' after 'n' in na p hthenic.,remove
Remove 'a' after 'g' in 'beggaress'.,beggress,beggress,remove,9,3,,beggaress,g,a,beggress,beggress,True,1.0,Final,"{
  ""p_answer"": ""begg ress""
}",Remove 'a' after 'g' in begg a ress.,remove
Remove 'u' after 'l' in 'quadrifoil'.,qadrifoil,qadrifoil,remove,10,2,,quadrifoil,l,u,qadrifoil,qadrifoil,True,1.0,Final,"{
  ""p_answer"": ""q adrifoil""
}",Remove 'u' after 'l' in q u adrifoil.,remove
Remove 't' after 'c' in 'isobathic'.,isobahic,isobahic,remove,9,4,,isobathic,c,t,isobahic,isobahic,True,1.0,Final,"{
  ""p_answer"": ""isoba hic"" 
}",Remove 't' after 'c' in isoba t hic.,remove
Remove 'n' after 'r' in 'oenotrian'.,oenotria,oeotria,remove,9,3,,oenotrian,r,n,oeotria,oenotria,False,0.875,Final,"{
  ""p_answer"": ""oe otria ""
}",Remove 'n' after 'r' in oe n otria n .,remove
Remove 'a' after 'o' in 'oka'.,ok,ok,remove,3,1,,oka,o,a,ok,ok,True,1.0,Final,"{
  ""p_answer"": ""ok ""
}",Remove 'a' after 'o' in ok a .,remove
Remove 'u' after 'e' in 'tue'.,te,te,remove,3,1,,tue,e,u,te,te,True,1.0,Final,"{
  ""p_answer"": ""te""
}",Remove 'u' after 'e' in t u e.,remove
Remove 'l' after 's' in 'saddled'.,sadded,sadded,remove,7,3,,saddled,s,l,sadded,sadded,True,1.0,Final,"{
  ""p_answer"": ""sadd ed""
}",Remove 'l' after 's' in sadd l ed.,remove
Remove 'r' after 'o' in 'corsican'.,cosican,cosican,remove,8,2,,corsican,o,r,cosican,cosican,True,1.0,Final,"{
  ""p_answer"": ""co sican""
}",Remove 'r' after 'o' in co r sican.,remove
Remove 'i' after 'k' in 'skinful'.,sknful,sknful,remove,7,4,,skinful,k,i,sknful,sknful,True,1.0,Final,"{
  ""p_answer"": ""sk nful""
}",Remove 'i' after 'k' in sk i nful.,remove
Remove 'h' after 'c' in 'aphototactic'.,apototactic,apototactic,remove,12,4,,aphototactic,c,h,apototactic,apototactic,True,1.0,Final,"{
  ""p_answer"": ""ap ototactic""
}",Remove 'h' after 'c' in ap h ototactic.,remove
Remove 'n' after 'y' in 'noddy'.,oddy,odd,remove,5,4,,noddy,y,n,odd,oddy,False,0.75,Final,"{
  ""p_answer"": ""odd""
}",Remove 'n' after 'y' in  n oddy.,remove
Remove 'g' after 'r' in 'pelargic'.,pelaric,pearlic,remove,8,4,,pelargic,r,g,pearlic,pelaric,False,0.7142857142857143,Final,"{
  ""p_answer"": ""pearlic""
}",Remove 'g' after 'r' in pelar g ic.,remove
Remove 'a' after 'c' in 'catabasis'.,ctabasis,ctbs,remove,9,3,,catabasis,c,a,ctbs,ctabasis,False,0.5,Final,"{
  ""p_answer"": ""c t b s""
}",Remove 'a' after 'c' in c a t a b a sis.,remove
Remove 'e' after 'a' in 'yea'.,ya,ya,remove,3,1,,yea,a,e,ya,ya,True,1.0,Final,"{
  ""p_answer"": ""y a""
}",Remove 'e' after 'a' in y e a.,remove
Remove 'a' after 'o' in 'ona'.,on,on,remove,3,1,,ona,o,a,on,on,True,1.0,Final,"{
  ""p_answer"": ""on ""
}",Remove 'a' after 'o' in on a .,remove
Remove 'e' after 'c' in 'cruciferae'.,crucifra,crucifra,remove,10,3,,cruciferae,c,e,crucifra,crucifra,True,1.0,Final,"{
  ""p_answer"": ""crucif ra ""
}",Remove 'e' after 'c' in crucif e ra e .,remove
Remove 't' after 'i' in 'pintle'.,pinle,pinle,remove,6,2,,pintle,i,t,pinle,pinle,True,1.0,Final,"{
  ""p_answer"": ""pin le""
}",Remove 't' after 'i' in pin t le.,remove
Remove 'o' after 'e' in 'foe'.,fe,fe,remove,3,1,,foe,e,o,fe,fe,True,1.0,Final,"{
  ""p_answer"": ""f e""
}",Remove 'o' after 'e' in f o e.,remove
Remove 't' after 's' in 'tester'.,teser,seser,remove,6,2,,tester,s,t,seser,teser,False,0.8,Final,"{
  ""p_answer"": ""seser""
}",Remove 't' after 's' in  t es t er.,remove
Remove 's' after 'i' in 'fraternism'.,fraternim,fraternim,remove,10,2,,fraternism,i,s,fraternim,fraternim,True,1.0,Final,"{
  ""p_answer"": ""fraterni m""
}",Remove 's' after 'i' in fraterni s m.,remove
Remove 'c' after 't' in 'endoblastic'.,endoblasti,endoblasti,remove,11,4,,endoblastic,t,c,endoblasti,endoblasti,True,1.0,Final,"{
  ""p_answer"": ""endoblasti ""
}",Remove 'c' after 't' in endoblasti c .,remove
Remove 't' after 'v' in 'imaginativeness'.,imaginaiveness,imaginavness,remove,15,4,,imaginativeness,v,t,imaginavness,imaginaiveness,False,0.8571428571428572,Final,"{
  ""p_answer"": ""imagina vness""
}",Remove 't' after 'v' in imagina t iveness.,remove
Remove 'e' after 'i' in 'bougainvilliidae'.,bougainvilliida,bougainvilliida,remove,16,3,,bougainvilliidae,i,e,bougainvilliida,bougainvilliida,True,1.0,Final,"{
  ""p_answer"": ""bougainvilliida ""
}",Remove 'e' after 'i' in bougainvilliida e .,remove
Remove 'o' after 'u' in 'sou'.,su,su,remove,3,1,,sou,u,o,su,su,True,1.0,Final,"{
  ""p_answer"": ""s u""
}",Remove 'o' after 'u' in s o u.,remove
Remove 'a' after 'i' in 'bacterially'.,bacterilly,bicterilly,remove,11,2,,bacterially,i,a,bicterilly,bacterilly,False,0.9,Final,"{
  ""p_answer"": ""b i cteri lly""
}",Remove 'a' after 'i' in b a cteri a lly.,remove
Remove 'i' after 'a' in 'microzoa'.,mcrozoa,macroza,remove,8,2,,microzoa,a,i,macroza,mcrozoa,False,0.7142857142857143,Final,"{
  ""p_answer"": ""macroza""
}",Remove 'i' after 'a' in m i crozoa.,remove
Remove 'o' after 'a' in 'iao'.,ia,ia,remove,3,1,,iao,a,o,ia,ia,True,1.0,Final,"{
  ""p_answer"": ""ia ""
}",Remove 'o' after 'a' in ia o .,remove
Remove 'e' after 'v' in 'extenuative'.,extenuativ,vtnativ,remove,11,4,,extenuative,v,e,vtnativ,extenuativ,False,0.6,Final,"{
  ""p_answer"": ""vtnativ ""
}",Remove 'e' after 'v' in  e xt e nuativ e .,remove
Remove 'a' after 'r' in 'misura'.,misur,misur,remove,6,2,,misura,r,a,misur,misur,True,1.0,Final,"{
  ""p_answer"": ""misur ""
}",Remove 'a' after 'r' in misur a .,remove
Remove 'c' after 'x' in 'toxiinfection'.,toxiinfetion,toxiinfetion,remove,13,4,,toxiinfection,x,c,toxiinfetion,toxiinfetion,True,1.0,Final,"{
  ""p_answer"": ""toxiinfe t ion""
}",Remove 'c' after 'x' in toxiinfe c tion.,remove
Remove 's' after 't' in 'oppositionism'.,oppositionim,oppotiionim,remove,13,3,,oppositionism,t,s,oppotiionim,oppositionim,False,0.8333333333333334,Final,"{
  ""p_answer"": ""oppo tiioni m""
}",Remove 's' after 't' in oppo s itioni s m.,remove
Remove 'k' after 'e' in 'baglike'.,baglie,baglie,remove,7,4,,baglike,e,k,baglie,baglie,True,1.0,Final,"{
  ""p_answer"": ""bagli e""
}",Remove 'k' after 'e' in bagli k e.,remove
Remove 'b' after 'a' in 'maizebird'.,maizeird,maizeird,remove,9,3,,maizebird,a,b,maizeird,maizeird,True,1.0,Final,"{
  ""p_answer"": ""maize i rd""
}",Remove 'b' after 'a' in maize b ird.,remove
Remove 'r' after 'p' in 'supracondyloid'.,supacondyloid,supacondyloid,remove,14,4,,supracondyloid,p,r,supacondyloid,supacondyloid,True,1.0,Final,"{
  ""p_answer"": ""supacondyloid""
}",Remove 'r' after 'p' in sup r acondyloid.,remove
Remove 'c' after 'n' in 'homaxonic'.,homaxoni,homanoni,remove,9,4,,homaxonic,n,c,homanoni,homaxoni,False,0.875,Final,"{
  ""p_answer"": ""homano ni ""
}",Remove 'c' after 'n' in homaxoni c .,remove
Remove 'r' after 'o' in 'protomagister'.,potomagiste,potomagiste,remove,13,3,,protomagister,o,r,potomagiste,potomagiste,True,1.0,Final,"{
  ""p_answer"": ""p otomagiste""
}",Remove 'r' after 'o' in p r otomagiste r .,remove
Remove 'o' after 'i' in 'ion'.,in,in,remove,3,1,,ion,i,o,in,in,True,1.0,Final,"{
  ""p_answer"": ""in""
}",Remove 'o' after 'i' in i o n.,remove
Remove 'r' after 'e' in 'tavers'.,taves,taves,remove,6,2,,tavers,e,r,taves,taves,True,1.0,Final,"{
  ""p_answer"": ""tave s""
}",Remove 'r' after 'e' in tave r s.,remove
Remove 'i' after 'r' in 'refilter'.,reflter,reflter,remove,8,2,,refilter,r,i,reflter,reflter,True,1.0,Final,"{
  ""p_answer"": ""ref lter""
}",Remove 'i' after 'r' in ref i lter.,remove
Remove 'i' after 'a' in 'irrepairable'.,rreparable,arreparable,remove,12,2,,irrepairable,a,i,arreparable,rreparable,False,0.9090909090909091,Final,"{
  ""p_answer"": ""arrepa rable""
}",Remove 'i' after 'a' in  i rrepa i rable.,remove
Remove 's' after 'i' in 'gastrilegous'.,gastrilegou,gailegou,remove,12,3,,gastrilegous,i,s,gailegou,gastrilegou,False,0.7272727272727273,Final,"{
  ""p_answer"": ""ga i legou""
}",Remove 's' after 'i' in ga s trilegou s .,remove
Remove 'e' after 'o' in 'consenter'.,consnter,consntr,remove,9,2,,consenter,o,e,consntr,consnter,False,0.875,Final,"{
  ""p_answer"": ""cons n t r""
}",Remove 'e' after 'o' in cons e nt e r.,remove
Remove 'e' after 'u' in 'feu'.,fu,fu,remove,3,1,,feu,u,e,fu,fu,True,1.0,Final,"{
  ""p_answer"": ""fu"" 
}",Remove 'e' after 'u' in f e u.,remove
Remove 'k' after 'u' in 'pukka'.,puka,pu,remove,5,4,,pukka,u,k,pu,puka,False,0.5,Final,"{
  ""p_answer"": ""pu ""
}",Remove 'k' after 'u' in pu k  k a.,remove
Remove 'a' after 'h' in 'brandreth'.,brndreth,brndreth,remove,9,3,,brandreth,h,a,brndreth,brndreth,True,1.0,Final,"{
  ""p_answer"": ""br ndreth""
}",Remove 'a' after 'h' in br a ndreth.,remove
Remove 'a' after 'e' in 'dae'.,de,de,remove,3,1,,dae,e,a,de,de,True,1.0,Final,"{
  ""p_answer"": ""de""
}",Remove 'a' after 'e' in d a e.,remove
Remove 's' after 'a' in 'arthritis'.,arthriti,arthriti,remove,9,2,,arthritis,a,s,arthriti,arthriti,True,1.0,Final,"{
  ""p_answer"": ""arthriti ""
}",Remove 's' after 'a' in arthriti s .,remove
Remove 'e' after 'i' in 'pie'.,pi,pi,remove,3,1,,pie,i,e,pi,pi,True,1.0,Final,"{
  ""p_answer"": ""pi ""
}",Remove 'e' after 'i' in pi e .,remove
Remove 'k' after 'i' in 'durukuli'.,duruuli,duruli,remove,8,4,,durukuli,i,k,duruli,duruuli,False,0.8571428571428572,Final,"{
  ""p_answer"": ""dur u li""
}",Remove 'k' after 'i' in duru k uli.,remove
Remove 'c' after 'g' in 'gumchewer'.,gumhewer,gumhewer,remove,9,4,,gumchewer,g,c,gumhewer,gumhewer,True,1.0,Final,"{
  ""p_answer"": ""gum hewer""
}",Remove 'c' after 'g' in gum c hewer.,remove
Remove 'a' after 'e' in 'lateral'.,laterl,lterl,remove,7,2,,lateral,e,a,lterl,laterl,False,0.8333333333333334,Final,"{
  ""p_answer"": ""l ter l""
}",Remove 'a' after 'e' in l a ter a l.,remove
Remove 't' after 'y' in 'raylet'.,rayle,rayle,remove,6,4,,raylet,y,t,rayle,rayle,True,1.0,Final,"{
  ""p_answer"": ""rayle ""
}",Remove 't' after 'y' in rayle t .,remove
Remove 'a' after 'i' in 'iwa'.,iw,iw,remove,3,1,,iwa,i,a,iw,iw,True,1.0,Final,"{
  ""p_answer"": ""iw ""
}",Remove 'a' after 'i' in iw a .,remove
Remove 'l' after 'd' in 'rectoabdominal'.,rectoabdomina,rectobadomina,remove,14,4,,rectoabdominal,d,l,rectobadomina,rectoabdomina,False,0.8461538461538461,Final,"{
  ""p_answer"": ""rectoba domina""
}",Remove 'l' after 'd' in rectoabdomina l .,remove
Remove 'i' after 'y' in 'enjoyingly'.,enjoyngly,enjoyngly,remove,10,4,,enjoyingly,y,i,enjoyngly,enjoyngly,True,1.0,Final,"{
  ""p_answer"": ""enjoy ngly""
}",Remove 'i' after 'y' in enjoy i ngly.,remove
Remove 'c' after 'e' in 'pathematic'.,pathemati,pathemati,remove,10,3,,pathematic,e,c,pathemati,pathemati,True,1.0,Final,"{
  ""p_answer"": ""pathemati""
}",Remove 'c' after 'e' in pathemati c .,remove
Remove 'e' after 'r' in 'tafferel'.,tafferl,tafrl,remove,8,2,,tafferel,r,e,tafrl,tafferl,False,0.7142857142857143,Final,"{
  ""p_answer"": ""tafr l""
}",Remove 'e' after 'r' in taff e r e l.,remove
Remove 'd' after 'e' in 'ridgeboard'.,ridgeboar,rigeboar,remove,10,3,,ridgeboard,e,d,rigeboar,ridgeboar,False,0.8888888888888888,Final,"{
  ""p_answer"": ""ri geboar ""
}",Remove 'd' after 'e' in ri d geboar d .,remove
Remove 'o' after 'i' in 'ibo'.,ib,ib,remove,3,1,,ibo,i,o,ib,ib,True,1.0,Final,"{
  ""p_answer"": ""ib ""
}",Remove 'o' after 'i' in ib o .,remove
Remove 'h' after 'e' in 'arteriorrhexis'.,arteriorrexis,arteriorrexis,remove,14,4,,arteriorrhexis,e,h,arteriorrexis,arteriorrexis,True,1.0,Final,"{
  ""p_answer"": ""arteriorr e xis""
}",Remove 'h' after 'e' in arteriorr h exis.,remove
Remove 'r' after 'b' in 'oxybutyric'.,oxybutyic,oxybutyic,remove,10,4,,oxybutyric,b,r,oxybutyic,oxybutyic,True,1.0,Final,"{
  ""p_answer"": ""oxybuty ic""
}",Remove 'r' after 'b' in oxybuty r ic.,remove
Remove 'e' after 'a' in 'ape'.,ap,ap,remove,3,1,,ape,a,e,ap,ap,True,1.0,Final,"{
  ""p_answer"": ""ap ""
}",Remove 'e' after 'a' in ap e .,remove
Remove 'e' after 'i' in 'vei'.,vi,vi,remove,3,1,,vei,i,e,vi,vi,True,1.0,Final,"{
  ""p_answer"": ""vi""
}",Remove 'e' after 'i' in v e i.,remove
Remove 'e' after 't' in 'outyelp'.,outylp,outylp,remove,7,2,,outyelp,t,e,outylp,outylp,True,1.0,Final,"{
  ""p_answer"": ""outy l p""
}",Remove 'e' after 't' in outy e lp.,remove
Remove 'n' after 'a' in 'aminoglutaric'.,amioglutaric,amiogltaric,remove,13,3,,aminoglutaric,a,n,amiogltaric,amioglutaric,False,0.9166666666666666,Final,"{
  ""p_answer"": ""ami ogltaric""
}",Remove 'n' after 'a' in ami n oglutaric.,remove
Remove 'o' after 'e' in 'roe'.,re,re,remove,3,1,,roe,e,o,re,re,True,1.0,Final,"{
  ""p_answer"": ""r e""
}",Remove 'o' after 'e' in r o e.,remove
Remove 'e' after 'n' in 'heartfulness'.,heartfulnss,hartfulnss,remove,12,3,,heartfulness,n,e,hartfulnss,heartfulnss,False,0.9090909090909091,Final,"{
  ""p_answer"": ""hartfuln ss""
}",Remove 'e' after 'n' in h e artfuln e ss.,remove
Remove 'v' after 't' in 'contextive'.,contextie,contextie,remove,10,4,,contextive,t,v,contextie,contextie,True,1.0,Final,"{
  ""p_answer"": ""contexti e""
}",Remove 'v' after 't' in contexti v e.,remove
Remove 'a' after 'e' in 'pyemia'.,pyemi,pyemi,remove,6,2,,pyemia,e,a,pyemi,pyemi,True,1.0,Final,"{
  ""p_answer"": ""pyemi ""
}",Remove 'a' after 'e' in pyemi a .,remove
Remove 'a' after 'e' in 'wea'.,we,we,remove,3,1,,wea,e,a,we,we,True,1.0,Final,"{
  ""p_answer"": ""we ""
}",Remove 'a' after 'e' in we a .,remove
Remove 'e' after 't' in 'pectization'.,pctization,pcitization,remove,11,3,,pectization,t,e,pcitization,pctization,False,0.9090909090909091,Final,"{
  ""p_answer"": ""pcitization""
}",Remove 'e' after 't' in p e ctization.,remove
Remove 'l' after 'e' in 'replicative'.,repicative,repeicative,remove,11,3,,replicative,e,l,repeicative,repicative,False,0.9090909090909091,Final,"{
  ""p_answer"": ""rep e icative""
}",Remove 'l' after 'e' in rep l icative.,remove
Remove 'e' after 'r' in 'supercapable'.,supercapabl,suprcapabl,remove,12,3,,supercapable,r,e,suprcapabl,supercapabl,False,0.9090909090909091,Final,"{
  ""p_answer"": ""suprcapabl""
}",Remove 'e' after 'r' in sup e rcapabl e .,remove
Remove 'e' after 'a' in 'caprelline'.,caprlline,caprllin,remove,10,2,,caprelline,a,e,caprllin,caprlline,False,0.8888888888888888,Final,"{
  ""p_answer"": ""capr llin ""
}",Remove 'e' after 'a' in capr e llin e .,remove
Remove 'a' after 'u' in 'tau'.,tu,tu,remove,3,1,,tau,u,a,tu,tu,True,1.0,Final,"{
  ""p_answer"": ""t u""
}",Remove 'a' after 'u' in t a u.,remove
Remove 's' after 'i' in 'whippiness'.,whippine,whippine,remove,10,2,,whippiness,i,s,whippine,whippine,True,1.0,Final,"{
  ""p_answer"": ""whippine""
}",Remove 's' after 'i' in whippine s  s .,remove
Remove 'a' after 'e' in 'wea'.,we,we,remove,3,1,,wea,e,a,we,we,True,1.0,Final,"{
  ""p_answer"": ""we ""
}",Remove 'a' after 'e' in we a .,remove
Remove 'o' after 'y' in 'successionally'.,successinally,successinally,remove,14,4,,successionally,y,o,successinally,successinally,True,1.0,Final,"{
  ""p_answer"": ""successi nally""
}",Remove 'o' after 'y' in successi o nally.,remove
Remove 'e' after 'i' in 'lei'.,li,li,remove,3,1,,lei,i,e,li,li,True,1.0,Final,"{
  ""p_answer"": ""li""
}",Remove 'e' after 'i' in l e i.,remove
Remove 'e' after 'a' in 'ape'.,ap,ap,remove,3,1,,ape,a,e,ap,ap,True,1.0,Final,"{
  ""p_answer"": ""ap ""
}",Remove 'e' after 'a' in ap e .,remove
Remove 'e' after 'f' in 'nefast'.,nfast,nfast,remove,6,4,,nefast,f,e,nfast,nfast,True,1.0,Final,"{
  ""p_answer"": ""n fast""
}",Remove 'e' after 'f' in n e fast.,remove
Remove 'l' after 'n' in 'histoplasmin'.,histopasmin,histopasmin,remove,12,3,,histoplasmin,n,l,histopasmin,histopasmin,True,1.0,Final,"{
  ""p_answer"": ""histop asmin""
}",Remove 'l' after 'n' in histop l asmin.,remove
Remove 'n' after 'a' in 'untrading'.,untradig,utradig,remove,9,2,,untrading,a,n,utradig,untradig,False,0.875,Final,"{
  ""p_answer"": ""u tradi g""
}",Remove 'n' after 'a' in u n tradi n g.,remove
Remove 'a' after 'n' in 'vacational'.,vacationl,vctionl,remove,10,2,,vacational,n,a,vctionl,vacationl,False,0.7777777777777778,Final,"{
  ""p_answer"": ""v c tion l""
}",Remove 'a' after 'n' in v a c a tion a l.,remove
Remove 'a' after 'o' in 'mao'.,mo,mo,remove,3,1,,mao,o,a,mo,mo,True,1.0,Final,"{
  ""p_answer"": ""mo""
}",Remove 'a' after 'o' in m a o.,remove
Remove 'i' after 's' in 'fasciculus'.,fascculus,fascculus,remove,10,2,,fasciculus,s,i,fascculus,fascculus,True,1.0,Final,"{
  ""p_answer"": ""fasc culus""
}",Remove 'i' after 's' in fasc i culus.,remove
Remove 'u' after 'o' in 'dourine'.,dorine,dorine,remove,7,2,,dourine,o,u,dorine,dorine,True,1.0,Final,"{
  ""p_answer"": ""do rine""
}",Remove 'u' after 'o' in do u rine.,remove
Remove 'e' after 'c' in 'carapache'.,carapach,carapach,remove,9,3,,carapache,c,e,carapach,carapach,True,1.0,Final,"{
  ""p_answer"": ""carapach""
}",Remove 'e' after 'c' in carapach e .,remove
Remove 'i' after 'o' in 'pedometrician'.,pedometrcian,pedometrcan,remove,13,2,,pedometrician,o,i,pedometrcan,pedometrcian,False,0.9166666666666666,Final,"{
  ""p_answer"": ""pedometr c an""
}",Remove 'i' after 'o' in pedometr i c i an.,remove
Remove 'c' after 'n' in 'antiromance'.,antiromane,antiromane,remove,11,4,,antiromance,n,c,antiromane,antiromane,True,1.0,Final,"{
  ""p_answer"": ""antiroman e""
}",Remove 'c' after 'n' in antiroman c e.,remove
Remove 'n' after 'o' in 'counteractant'.,couteractant,councteracta,remove,13,3,,counteractant,o,n,councteracta,couteractant,False,0.6666666666666667,Final,"{
  ""p_answer"": ""councteracta""
}",Remove 'n' after 'o' in cou n teracta n t.,remove
Remove 't' after 'g' in 'easting'.,easing,easing,remove,7,4,,easting,g,t,easing,easing,True,1.0,Final,"{
  ""p_answer"": ""eas ing""
}",Remove 't' after 'g' in eas t ing.,remove
Remove 'i' after 'm' in 'volumetrically'.,volumetrcally,volumetrcally,remove,14,4,,volumetrically,m,i,volumetrcally,volumetrcally,True,1.0,Final,"{
  ""p_answer"": ""volumetr cally""
}",Remove 'i' after 'm' in volumetr i cally.,remove
Remove 'r' after 'n' in 'linaria'.,linaia,linaia,remove,7,3,,linaria,n,r,linaia,linaia,True,1.0,Final,"{
  ""p_answer"": ""lina ia""
}",Remove 'r' after 'n' in lina r ia.,remove
Remove 't' after 'r' in 'nester'.,neser,neser,remove,6,2,,nester,r,t,neser,neser,True,1.0,Final,"{
  ""p_answer"": ""nes er""
}",Remove 't' after 'r' in nes t er.,remove
Remove 'e' after 's' in 'presbyte'.,presbyt,prsbyt,remove,8,2,,presbyte,s,e,prsbyt,presbyt,False,0.8571428571428572,Final,"{
  ""p_answer"": ""pr sbyt""
}",Remove 'e' after 's' in pr e sbyt e .,remove
Remove 'i' after 'o' in 'preterdiplomatically'.,preterdiplomatcally,preterdlplatormcally,remove,20,3,,preterdiplomatically,o,i,preterdlplatormcally,preterdiplomatcally,False,0.7,Final,"{
  ""p_answer"": ""preterd l platorm cally""
}",Remove 'i' after 'o' in preterd i plomat i cally.,remove
Remove 'a' after 'o' in 'mao'.,mo,mo,remove,3,1,,mao,o,a,mo,mo,True,1.0,Final,"{
  ""p_answer"": ""mo""
}",Remove 'a' after 'o' in m a o.,remove
Remove 'o' after 'e' in 'one'.,ne,ne,remove,3,1,,one,e,o,ne,ne,True,1.0,Final,"{
  ""p_answer"": ""ne""
}",Remove 'o' after 'e' in  o ne.,remove
Remove 'o' after 'e' in 'obe'.,be,be,remove,3,1,,obe,e,o,be,be,True,1.0,Final,"{
  ""p_answer"": ""b e""
}",Remove 'o' after 'e' in  o be.,remove
Remove 's' after 'e' in 'niceness'.,nicene,nicene,remove,8,2,,niceness,e,s,nicene,nicene,True,1.0,Final,"{
  ""p_answer"": ""nicene ""
}",Remove 's' after 'e' in nicene s  s .,remove
Remove 'u' after 'i' in 'melanthium'.,melanthim,melanthim,remove,10,2,,melanthium,i,u,melanthim,melanthim,True,1.0,Final,"{
  ""p_answer"": ""melanthi m""
}",Remove 'u' after 'i' in melanthi u m.,remove
Remove 'i' after 'n' in 'galantine'.,galantne,galantne,remove,9,2,,galantine,n,i,galantne,galantne,True,1.0,Final,"{
  ""p_answer"": ""galant ne""
}",Remove 'i' after 'n' in galant i ne.,remove
Remove 'e' after 'o' in 'coe'.,co,co,remove,3,1,,coe,o,e,co,co,True,1.0,Final,"{
  ""p_answer"": ""co ""
}",Remove 'e' after 'o' in co e .,remove
Remove 'i' after 'o' in 'toi'.,to,to,remove,3,1,,toi,o,i,to,to,True,1.0,Final,"{
  ""p_answer"": ""to ""
}",Remove 'i' after 'o' in to i .,remove
Remove 'i' after 'l' in 'overlisten'.,overlsten,overlsten,remove,10,2,,overlisten,l,i,overlsten,overlsten,True,1.0,Final,"{
  ""p_answer"": ""overl sten""
}",Remove 'i' after 'l' in overl i sten.,remove
Remove 'l' after 'w' in 'colicweed'.,coicweed,cowicweed,remove,9,4,,colicweed,w,l,cowicweed,coicweed,False,0.8888888888888888,Final,"{
  ""p_answer"": ""co w icweed""
}",Remove 'l' after 'w' in co l icweed.,remove
Remove 'i' after 'e' in 'eli'.,el,el,remove,3,1,,eli,e,i,el,el,True,1.0,Final,"{
  ""p_answer"": ""el ""
}",Remove 'i' after 'e' in el i .,remove
Remove 'e' after 'r' in 'shelleater'.,shlleater,shlllatr,remove,10,2,,shelleater,r,e,shlllatr,shlleater,False,0.7777777777777778,Final,"{
  ""p_answer"": ""sh ll l at r""
}",Remove 'e' after 'r' in sh e ll e at e r.,remove
Remove 'e' after 't' in 'oophyte'.,oophyt,oopty,remove,7,2,,oophyte,t,e,oopty,oophyt,False,0.6666666666666667,Final,"{
  ""p_answer"": ""oopty ""
}",Remove 'e' after 't' in oophyt e .,remove
Remove 'e' after 'i' in 'nei'.,ni,ni,remove,3,1,,nei,i,e,ni,ni,True,1.0,Final,"{
  ""p_answer"": ""ni""
}",Remove 'e' after 'i' in n e i.,remove
Remove 'c' after 'm' in 'persymmetric'.,persymmetri,persymmetri,remove,12,4,,persymmetric,m,c,persymmetri,persymmetri,True,1.0,Final,"{
  ""p_answer"": ""persymmetri""
}",Remove 'c' after 'm' in persymmetri c .,remove
Remove 'n' after 'i' in 'breeziness'.,breeziess,breeziess,remove,10,2,,breeziness,i,n,breeziess,breeziess,True,1.0,Final,"{
  ""p_answer"": ""breezi ess""
}",Remove 'n' after 'i' in breezi n ess.,remove
Remove 'i' after 'e' in 'stovemaking'.,stovemakng,stovemakng,remove,11,2,,stovemaking,e,i,stovemakng,stovemakng,True,1.0,Final,"{
  ""p_answer"": ""stovemak ng""
}",Remove 'i' after 'e' in stovemak i ng.,remove
Remove 'a' after 'i' in 'hima'.,him,him,remove,4,2,,hima,i,a,him,him,True,1.0,Final,"{
  ""p_answer"": ""him ""
}",Remove 'a' after 'i' in him a .,remove
Remove 'i' after 't' in 'acrosticism'.,acrostcism,acrostcsm,remove,11,3,,acrosticism,t,i,acrostcsm,acrostcism,False,0.9,Final,"{
  ""p_answer"": ""acrost c sm""
}",Remove 'i' after 't' in acrost i c i sm.,remove
